station_id;station_number;name;capacity;coordinates
242;100863462;Musée d'Orsay;65;POINT(48.8597261579 2.32586044818)
243;54000549;Villersexel - Saint-Germain;16;POINT(48.8582970012 2.32379347086)
244;41523981;Mairie du 15ème;32;POINT(48.8417762 2.2986539)
245;1055541632;Place Tony de Graaff;42;POINT(48.8181645 2.2458109)
246;266052390;Melun - Jean Jaurès;28;POINT(48.8837796723 2.37647742033)
247;1599931563;République - Auguste Perret;30;POINT(48.7869528095 2.35185943544)
248;7261;Athènes - Clichy;20;POINT(48.8781137879 2.32956021946)
249;285726279;Quai de Valmy;26;POINT(48.8812695158 2.36818604171)
250;284787594;Place d'Italie - Vincent Auriol;40;POINT(48.8314818745 2.35675502923)
251;38280;Saint-Didier - Raymond Poincaré;17;POINT(48.8664231202 2.28586349719)
252;457834134;André Maurois - Joseph et Marie Hackin;29;POINT(48.8778983 2.2789591)
253;478385490;Charles Gide - Fort de Bicêtre;30;POINT(48.8071937957 2.35398441553)
254;54000562;Square Alban Satragne;30;POINT(48.8753405484 2.35588476062)
255;443402852;Place de Lévis;48;POINT(48.8835468515 2.31319338083)
256;82565383;Jacques Kellner - Saint-Ouen;47;POINT(48.8958094858 2.32789740916)
257;129016495;Taitbout - La Fayette;53;POINT(48.8733298892 2.33526259661)
258;488800137;Portugais - Kléber;26;POINT(48.8712148 2.2937349)
259;1057091571;Esplanade du Foncet - Camille Desmoulins;28;POINT(48.8270902335 2.2606857866)
260;1062704564;Bourg l'Abbé - Saint-Martin;42;POINT(48.8639333195 2.3524062708)
261;81212212;Jean Jaurès - Jules Jacquemin;24;POINT(48.884330536 2.40829024552)
262;128841079;Cambon - Rivoli;40;POINT(48.866143391 2.32518006471)
263;443153677;Perle - Vieille du Temple;36;POINT(48.8601346 2.3611206)
264;1062245074;Roger Salengro - Général de Gaulle;27;POINT(48.8200290104 2.48467605561)
265;39169029;Sorbier - Ménilmontant;24;POINT(48.8685423957 2.38977212459)
266;54000465;Etienne Marcel - Montorgueil;28;POINT(48.8645056726 2.3461959511)
267;42341698;Cléry - Montmartre;44;POINT(48.867458 2.3445211)
268;1063000561;Gardenat-Lapostol - Velettes;20;POINT(48.87387 2.224185)
269;48800374;Place de l'Hôtel de Ville;14;POINT(48.8573314 2.351458)
270;15290700;Aboukir - Alexandrie;21;POINT(48.8686834444 2.35020432695)
271;27414358;Saint-Honoré - 29 juillet;20;POINT(48.8655711428 2.33056741758)
272;39887632;Choisy - Malmaisons;25;POINT(48.821919703 2.36334688341)
273;653031913;Réaumur - Montmartre;19;POINT(48.8682309998 2.34382603389)
274;210328645;Place André Malraux;19;POINT(48.8639251587 2.33562268317)
275;1074390359;Youri Gagarine - Commune de Paris;33;POINT(48.782427463 2.39397346973)
276;13356269;Assas - Rennes;32;POINT(48.8492084999 2.32851454623)
277;39311270;Pasteur - Cotentin;33;POINT(48.8389284 2.316356)
278;82588494;Verdier - République;29;POINT(48.8154037663 2.31739372015)
279;54000547;Quatre Vents - Carrefour de l'Odéon;37;POINT(48.8517513745 2.33816169513)
280;54000551;Galilée - Vernet;17;POINT(48.8717158787 2.2985444963)
281;27415083;Place d'Italie - Soeur Rosalie;52;POINT(48.8319085204 2.35469434481)
282;121086415;Colisée - Champs-Elysées;24;POINT(48.8704753994 2.30761907995)
283;27414937;Saint-Mandé - Docteur Arnold Netter;39;POINT(48.8446258577 2.40494638681)
284;54000627;Bertrand Sincholle - Henri Barbusse;24;POINT(48.8992598239 2.3042294383)
285;84961467;Lacépède - Linné;54;POINT(48.8437035477 2.35465127975)
286;100227241;Guynemer - Jardin du Luxembourg;36;POINT(48.8466127 2.3325478)
287;129094535;Porte de Saint-Ouen - Bessières;42;POINT(48.8979224085 2.32851451022)
288;499303158;Jules Guesde - Pont du Port à l'Anglais;30;POINT(48.7962880709 2.41721212864)
289;210585225;Dunkerque - Alsace;18;POINT(48.879355 2.358379)
290;1805255023;Sèvres - Général Leclerc;30;POINT(48.8301957176 2.23135583103)
291;128889359;Champ de Mars - Cler;41;POINT(48.8566915501 2.30664677918)
292;912377361;Diderot - Reuilly;44;POINT(48.8472084561 2.38612733781)
293;34742973;Place Balard;22;POINT(48.8363957364 2.27841921151)
294;596813170;Cimetière;15;POINT(48.8470617336 2.47878223658)
295;523900881;Cité de la Musique;60;POINT(48.8890564418 2.39302311183)
296;213875650;Henri Ste-Claire Déville - Paul Héroult;24;POINT(48.892663 2.172411)
297;213992316;Square du Théâtre du Garde-Chasse;50;POINT(48.8812873751 2.42011964321)
298;54000601;Jean-François Lépine - Stephenson;22;POINT(48.886114668 2.35685562753)
299;648227675;Auguste Cain - Jean Moulin;40;POINT(48.8257702893 2.32104152441)
300;237624030;Mathurins - Auber;36;POINT(48.8729888407 2.32949842123)
301;129078200;Parc Georges Brassens - Brancion;29;POINT(48.8322782927 2.30225700885)
302;640629438;Aristide Briand - Gare de Bagneux;22;POINT(48.7938726966 2.32114881277)
303;55664548;Charonne - Faubourg Saint-Antoine;34;POINT(48.8521919097 2.37409327179)
304;378626842;Anatole France - Louise Michel;50;POINT(48.8887321493 2.28815764189)
305;341388492;Place des Ternes;46;POINT(48.8784386312 2.29772776365)
306;1062223873;Ancien Canal - Hélène Brion;23;POINT(48.894847993 2.41883385926)
307;82423726;Gare de Lyon - Roland Barthes;68;POINT(48.8439572949 2.37908821553)
308;15461933;Parc Monceau;18;POINT(48.8810779141 2.30954926461)
309;214146056;Vignerons - Minimes;29;POINT(48.841486 2.430793)
310;15308782;Sommerard - Saint-Jacques;34;POINT(48.8503104329 2.3450158353)
311;653055097;Milton - Manuel;22;POINT(48.878249 2.341181)
312;27415469;Orteaux - Mouraud;24;POINT(48.8555864285 2.40876290776)
313;15409531;Méchain - Faubourg Saint-Jacques;16;POINT(48.835867721 2.33798034198)
314;36298;Jean-Baptiste Pigalle - La Bruyere;17;POINT(48.8793982645 2.33370917334)
315;84966359;Naples - Rome;26;POINT(48.8799607008 2.32135869563)
316;35137730;Hôpital Pitié Salpêtrière;50;POINT(48.8377016 2.3604946)
317;210737808;Aqueduc - Villette;28;POINT(48.8838860639 2.36719880331)
318;452936197;Bois de Vincennes;60;POINT(48.8338064 2.4132221)
319;66491386;Surcouf - Université;58;POINT(48.8612730163 2.30945355091)
320;1036199130;Les Juilliottes;21;POINT(48.8043072 2.4437362)
321;1055553396;Mornay - Sully;15;POINT(48.8497039955 2.36446078867)
322;82566934;Brochant - Clichy;53;POINT(48.8903299891 2.31973055993)
323;213693126;Véron - Lepic;23;POINT(48.885261234 2.33455985785)
